ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
1304055,9,Rajasthan Royals,JC Buttler,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1304056,10,Gujarat Titans,LH Ferguson,Gujarat Titans,Gujarat Titans,Gujarat Titans
1304057,11,Punjab Kings,LS Livingstone,Punjab Kings,Punjab Kings,Punjab Kings
1304058,12,Lucknow Super Giants,Avesh Khan,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1304059,13,Rajasthan Royals,KD Karthik,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
1304060,14,Mumbai Indians,PJ Cummins,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
1304061,15,Delhi Capitals,Q de Kock,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
1304062,16,Punjab Kings,Shubman Gill,Gujarat Titans,Punjab Kings,Punjab Kings
1304063,17,Chennai Super Kings,Abhishek Sharma,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
1304064,18,Mumbai Indians,Anuj Rawat,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
1304065,19,Delhi Capitals,Kuldeep Yadav,Delhi Capitals,Delhi Capitals,Delhi Capitals
1304066,20,Rajasthan Royals,YS Chahal,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1304067,21,Gujarat Titans,KS Williamson,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans
1304068,22,Chennai Super Kings,S Dube,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1304069,23,Punjab Kings,MA Agarwal,Punjab Kings,Punjab Kings,Punjab Kings
1304070,24,Gujarat Titans,HH Pandya,Gujarat Titans,Gujarat Titans,Gujarat Titans
1304071,25,Kolkata Knight Riders,RA Tripathi,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
1304072,26,Lucknow Super Giants,KL Rahul,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1304073,27,Royal Challengers Bangalore,KD Karthik,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1304074,28,Punjab Kings,Umran Malik,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
1304075,29,Chennai Super Kings,DA Miller,Gujarat Titans,Chennai Super Kings,Chennai Super Kings
1304076,30,Rajasthan Royals,YS Chahal,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1304077,31,Royal Challengers Bangalore,F du Plessis,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1304078,32,Punjab Kings,Kuldeep Yadav,Delhi Capitals,Punjab Kings,Punjab Kings
1304079,33,Mumbai Indians,Mukesh Choudhary,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1304080,34,Rajasthan Royals,JC Buttler,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1304081,35,Gujarat Titans,Rashid Khan,Gujarat Titans,Gujarat Titans,Gujarat Titans
1304082,36,Royal Challengers Bangalore,M Jansen,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
1304083,37,Lucknow Super Giants,KL Rahul,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1304084,38,Punjab Kings,S Dhawan,Punjab Kings,Punjab Kings,Punjab Kings
1304085,39,Rajasthan Royals,R Parag,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1304086,40,Sunrisers Hyderabad,Umran Malik,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad
1304087,41,Kolkata Knight Riders,Kuldeep Yadav,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
1304088,42,Lucknow Super Giants,KH Pandya,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1304089,43,Royal Challengers Bangalore,R Tewatia,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore
1304090,44,Rajasthan Royals,SA Yadav,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
1304091,45,Lucknow Super Giants,Mohsin Khan,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1304092,46,Chennai Super Kings,RD Gaikwad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1304093,47,Rajasthan Royals,RK Singh,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
1304094,48,Gujarat Titans,K Rabada,Punjab Kings,Gujarat Titans,Gujarat Titans
1304095,49,Royal Challengers Bangalore,HV Patel,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1304096,50,Delhi Capitals,DA Warner,Delhi Capitals,Delhi Capitals,Delhi Capitals
1304097,51,Mumbai Indians,TH David,Mumbai Indians,Mumbai Indians,Mumbai Indians
1304098,52,Punjab Kings,YBK Jaiswal,Rajasthan Royals,Punjab Kings,Punjab Kings
1304099,53,Lucknow Super Giants,Avesh Khan,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1304100,54,Royal Challengers Bangalore,PWH de Silva,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1304101,55,Chennai Super Kings,DP Conway,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1304102,56,Kolkata Knight Riders,JJ Bumrah,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1304103,57,Gujarat Titans,Shubman Gill,Gujarat Titans,Gujarat Titans,Gujarat Titans
1304104,58,Rajasthan Royals,MR Marsh,Delhi Capitals,Rajasthan Royals,Rajasthan Royals
1304105,59,Chennai Super Kings,DR Sams,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1304106,60,Punjab Kings,JM Bairstow,Punjab Kings,Punjab Kings,Punjab Kings
1304107,61,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1304108,62,Chennai Super Kings,WP Saha,Gujarat Titans,Chennai Super Kings,Chennai Super Kings
1304109,63,Rajasthan Royals,TA Boult,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1304110,64,Delhi Capitals,SN Thakur,Delhi Capitals,Delhi Capitals,Delhi Capitals
1304111,65,Sunrisers Hyderabad,RA Tripathi,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1304112,66,Lucknow Super Giants,Q de Kock,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1304113,67,Gujarat Titans,V Kohli,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans
1304114,68,Chennai Super Kings,R Ashwin,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
1304115,69,Delhi Capitals,JJ Bumrah,Mumbai Indians,Delhi Capitals,Delhi Capitals
1304116,70,Sunrisers Hyderabad,Harpreet Brar,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1312197,Unknown,Rajasthan Royals,DA Miller,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
1312198,Unknown,Royal Challengers Bangalore,RM Patidar,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1312199,Unknown,Royal Challengers Bangalore,JC Buttler,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
1312200,Unknown,Rajasthan Royals,HH Pandya,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
1359475,1,Chennai Super Kings,Rashid Khan,Gujarat Titans,Chennai Super Kings,Chennai Super Kings
1359476,2,Punjab Kings,Arshdeep Singh,Punjab Kings,Punjab Kings,Punjab Kings
1359477,3,Lucknow Super Giants,MA Wood,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1359478,4,Rajasthan Royals,JC Buttler,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1359479,5,Mumbai Indians,F du Plessis,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
1359480,6,Chennai Super Kings,MM Ali,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1359481,7,Delhi Capitals,B Sai Sudharsan,Gujarat Titans,Delhi Capitals,Delhi Capitals
1359482,8,Punjab Kings,NT Ellis,Punjab Kings,Punjab Kings,Punjab Kings
1359483,9,Kolkata Knight Riders,SN Thakur,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1359484,10,Sunrisers Hyderabad,KH Pandya,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
1359485,11,Rajasthan Royals,YBK Jaiswal,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1359486,12,Mumbai Indians,RA Jadeja,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1359487,13,Gujarat Titans,RK Singh,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans
1359488,14,Punjab Kings,S Dhawan,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
1359489,15,Royal Challengers Bangalore,N Pooran,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore
1359490,16,Delhi Capitals,RG Sharma,Mumbai Indians,Delhi Capitals,Delhi Capitals
1359491,17,Rajasthan Royals,R Ashwin,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1359492,18,Punjab Kings,MM Sharma,Gujarat Titans,Punjab Kings,Punjab Kings
1359493,19,Sunrisers Hyderabad,HC Brook,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1359494,20,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1359495,21,Lucknow Super Giants,Sikandar Raza,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants
1359496,22,Kolkata Knight Riders,VR Iyer,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
1359497,23,Gujarat Titans,SO Hetmyer,Rajasthan Royals,Gujarat Titans,Gujarat Titans
1359498,24,Chennai Super Kings,DP Conway,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1359499,25,Mumbai Indians,C Green,Mumbai Indians,Mumbai Indians,Mumbai Indians
1359500,26,Lucknow Super Giants,MP Stoinis,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1359501,27,Royal Challengers Bangalore,Mohammed Siraj,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1359502,28,Kolkata Knight Riders,I Sharma,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
1359503,29,Sunrisers Hyderabad,RA Jadeja,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1359504,30,Gujarat Titans,MM Sharma,Gujarat Titans,Gujarat Titans,Gujarat Titans
1359505,31,Punjab Kings,SM Curran,Punjab Kings,Punjab Kings,Punjab Kings
1359506,32,Royal Challengers Bangalore,GJ Maxwell,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1359507,33,Chennai Super Kings,AM Rahane,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1359508,34,Delhi Capitals,AR Patel,Delhi Capitals,Delhi Capitals,Delhi Capitals
1359509,35,Gujarat Titans,A Manohar,Gujarat Titans,Gujarat Titans,Gujarat Titans
1359510,36,Kolkata Knight Riders,CV Varun,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1359511,37,Rajasthan Royals,YBK Jaiswal,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1359512,38,Lucknow Super Giants,MP Stoinis,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1359513,39,Kolkata Knight Riders,J Little,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders
1359514,40,Sunrisers Hyderabad,MR Marsh,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1359515,41,Chennai Super Kings,DP Conway,Punjab Kings,Chennai Super Kings,Chennai Super Kings
1359516,42,Rajasthan Royals,YBK Jaiswal,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
1359517,43,Royal Challengers Bangalore,F du Plessis,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1359518,44,Delhi Capitals,Mohammed Shami,Delhi Capitals,Delhi Capitals,Delhi Capitals
1359519,45,Lucknow Super Giants,Unknown,Unknown,Lucknow Super Giants,Lucknow Super Giants
1359520,46,Punjab Kings,Ishan Kishan,Mumbai Indians,Punjab Kings,Punjab Kings
1359521,47,Kolkata Knight Riders,CV Varun,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1359522,48,Rajasthan Royals,Rashid Khan,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
1359523,49,Mumbai Indians,M Pathirana,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1359524,50,Royal Challengers Bangalore,PD Salt,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
1359525,51,Gujarat Titans,Shubman Gill,Gujarat Titans,Gujarat Titans,Gujarat Titans
1359526,52,Rajasthan Royals,GD Phillips,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
1359527,53,Punjab Kings,AD Russell,Kolkata Knight Riders,Punjab Kings,Punjab Kings
1359528,54,Royal Challengers Bangalore,SA Yadav,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
1359529,55,Chennai Super Kings,RA Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1359530,56,Kolkata Knight Riders,YBK Jaiswal,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
1359531,57,Mumbai Indians,SA Yadav,Mumbai Indians,Mumbai Indians,Mumbai Indians
1359532,58,Sunrisers Hyderabad,PN Mankad,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
1359533,59,Punjab Kings,P Simran Singh,Punjab Kings,Punjab Kings,Punjab Kings
1359534,60,Royal Challengers Bangalore,WD Parnell,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1359535,61,Chennai Super Kings,RK Singh,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
1359536,62,Gujarat Titans,Shubman Gill,Gujarat Titans,Gujarat Titans,Gujarat Titans
1359537,63,Lucknow Super Giants,MP Stoinis,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1359538,64,Delhi Capitals,RR Rossouw,Delhi Capitals,Delhi Capitals,Delhi Capitals
1359539,65,Sunrisers Hyderabad,V Kohli,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
1359540,66,Punjab Kings,D Padikkal,Rajasthan Royals,Punjab Kings,Punjab Kings
1359541,67,Chennai Super Kings,RD Gaikwad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1359542,68,Lucknow Super Giants,N Pooran,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1359543,69,Sunrisers Hyderabad,C Green,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
1359544,70,Royal Challengers Bangalore,Shubman Gill,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore
1370350,Unknown,Chennai Super Kings,RD Gaikwad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1370351,Unknown,Mumbai Indians,Akash Madhwal,Mumbai Indians,Mumbai Indians,Mumbai Indians
1370352,Unknown,Gujarat Titans,Shubman Gill,Gujarat Titans,Gujarat Titans,Gujarat Titans
1370353,Unknown,Gujarat Titans,DP Conway,Chennai Super Kings,Gujarat Titans,Gujarat Titans
1422119,1,Royal Challengers Bengaluru,Mustafizur Rahman,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1422120,2,Delhi Capitals,SM Curran,Punjab Kings,Delhi Capitals,Delhi Capitals
1422121,3,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1422122,4,Rajasthan Royals,SV Samson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1422123,5,Gujarat Titans,B Sai Sudharsan,Gujarat Titans,Gujarat Titans,Gujarat Titans
1422124,6,Punjab Kings,V Kohli,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
1422125,7,Chennai Super Kings,S Dube,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1422126,8,Sunrisers Hyderabad,Abhishek Sharma,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1422127,9,Rajasthan Royals,R Parag,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1422128,10,Royal Challengers Bengaluru,SP Narine,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1422129,11,Lucknow Super Giants,MP Yadav,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1422130,12,Sunrisers Hyderabad,MM Sharma,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad
1422131,13,Delhi Capitals,KK Ahmed,Delhi Capitals,Delhi Capitals,Delhi Capitals
1422132,14,Mumbai Indians,TA Boult,Rajasthan Royals,Mumbai Indians,Mumbai Indians
1422133,15,Lucknow Super Giants,MP Yadav,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1422134,16,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1422135,17,Gujarat Titans,Shashank Singh,Punjab Kings,Gujarat Titans,Gujarat Titans
1422136,18,Chennai Super Kings,Abhishek Sharma,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
1422137,19,Royal Challengers Bengaluru,JC Buttler,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1422138,20,Mumbai Indians,R Shepherd,Mumbai Indians,Mumbai Indians,Mumbai Indians
1422139,21,Lucknow Super Giants,Yash Thakur,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1426260,22,Kolkata Knight Riders,RA Jadeja,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
1426261,23,Sunrisers Hyderabad,Nithish Kumar Reddy,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1426262,24,Rajasthan Royals,Rashid Khan,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
1426263,25,Royal Challengers Bengaluru,JJ Bumrah,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1426264,26,Lucknow Super Giants,Kuldeep Yadav,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants
1426265,27,Punjab Kings,SO Hetmyer,Rajasthan Royals,Punjab Kings,Punjab Kings
1426266,28,Lucknow Super Giants,PD Salt,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants
1426267,29,Chennai Super Kings,M Pathirana,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1426268,30,Sunrisers Hyderabad,TM Head,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1426269,31,Kolkata Knight Riders,JC Buttler,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
1426270,32,Gujarat Titans,RR Pant,Delhi Capitals,Gujarat Titans,Gujarat Titans
1426271,33,Mumbai Indians,JJ Bumrah,Mumbai Indians,Mumbai Indians,Mumbai Indians
1426272,34,Chennai Super Kings,KL Rahul,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings
1426273,35,Sunrisers Hyderabad,TM Head,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1426274,36,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1426275,37,Punjab Kings,R Sai Kishore,Gujarat Titans,Punjab Kings,Punjab Kings
1426276,38,Mumbai Indians,Sandeep Sharma,Rajasthan Royals,Mumbai Indians,Mumbai Indians
1426277,39,Chennai Super Kings,MP Stoinis,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings
1426278,40,Delhi Capitals,RR Pant,Delhi Capitals,Delhi Capitals,Delhi Capitals
1426279,41,Royal Challengers Bengaluru,RM Patidar,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1426280,42,Kolkata Knight Riders,JM Bairstow,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
1426281,43,Delhi Capitals,J Fraser-McGurk,Delhi Capitals,Delhi Capitals,Delhi Capitals
1426282,44,Lucknow Super Giants,SV Samson,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants
1426283,45,Gujarat Titans,WG Jacks,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans
1426284,46,Chennai Super Kings,RD Gaikwad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1426285,47,Delhi Capitals,CV Varun,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
1426286,48,Mumbai Indians,MP Stoinis,Lucknow Super Giants,Mumbai Indians,Mumbai Indians
1426287,49,Chennai Super Kings,Harpreet Brar,Punjab Kings,Chennai Super Kings,Chennai Super Kings
1426288,50,Sunrisers Hyderabad,B Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1426289,51,Kolkata Knight Riders,VR Iyer,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1426290,52,Gujarat Titans,Mohammed Siraj,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans
1426291,53,Chennai Super Kings,RA Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
1426292,54,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1426293,55,Sunrisers Hyderabad,SA Yadav,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
1426294,56,Delhi Capitals,Kuldeep Yadav,Delhi Capitals,Delhi Capitals,Delhi Capitals
1426295,57,Lucknow Super Giants,TM Head,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
1426296,58,Royal Challengers Bengaluru,V Kohli,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1426297,59,Gujarat Titans,Shubman Gill,Gujarat Titans,Gujarat Titans,Gujarat Titans
1426298,60,Kolkata Knight Riders,CV Varun,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1426299,61,Rajasthan Royals,Simarjeet Singh,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
1426300,62,Royal Challengers Bengaluru,C Green,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1426302,64,Delhi Capitals,I Sharma,Delhi Capitals,Delhi Capitals,Delhi Capitals
1426303,65,Rajasthan Royals,SM Curran,Punjab Kings,Rajasthan Royals,Rajasthan Royals
1426305,67,Lucknow Super Giants,N Pooran,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1426306,68,Royal Challengers Bengaluru,F du Plessis,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1426307,69,Punjab Kings,Abhishek Sharma,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
1426309,Unknown,Sunrisers Hyderabad,MA Starc,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
1426310,Unknown,Royal Challengers Bengaluru,R Ashwin,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1426311,Unknown,Sunrisers Hyderabad,Shahbaz Ahmed,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1426312,Unknown,Sunrisers Hyderabad,MA Starc,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
1473438,1,Kolkata Knight Riders,KH Pandya,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
1473439,2,Sunrisers Hyderabad,Ishan Kishan,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1473440,3,Mumbai Indians,Noor Ahmad,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1473441,4,Lucknow Super Giants,Ashutosh Sharma,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants
1473442,5,Punjab Kings,SS Iyer,Punjab Kings,Punjab Kings,Punjab Kings
1473443,6,Rajasthan Royals,Q de Kock,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
1473444,7,Sunrisers Hyderabad,SN Thakur,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
1473445,8,Royal Challengers Bengaluru,RM Patidar,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473446,9,Gujarat Titans,M Prasidh Krishna,Gujarat Titans,Gujarat Titans,Gujarat Titans
1473447,10,Sunrisers Hyderabad,MA Starc,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
1473448,11,Rajasthan Royals,N Rana,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1473449,12,Kolkata Knight Riders,Ashwani Kumar,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
1473450,13,Lucknow Super Giants,P Simran Singh,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants
1473451,14,Royal Challengers Bengaluru,Mohammed Siraj,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473452,15,Kolkata Knight Riders,VG Arora,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1473453,16,Lucknow Super Giants,DS Rathi,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1473454,17,Delhi Capitals,KL Rahul,Delhi Capitals,Delhi Capitals,Delhi Capitals
1473455,18,Rajasthan Royals,JC Archer,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
1473457,19,Sunrisers Hyderabad,Mohammed Siraj,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad
1473458,20,Royal Challengers Bengaluru,RM Patidar,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473456,21,Lucknow Super Giants,N Pooran,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1473459,22,Punjab Kings,Priyansh Arya,Punjab Kings,Punjab Kings,Punjab Kings
1473460,23,Gujarat Titans,B Sai Sudharsan,Gujarat Titans,Gujarat Titans,Gujarat Titans
1473461,24,Royal Challengers Bengaluru,KL Rahul,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473462,25,Chennai Super Kings,SP Narine,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
1473463,26,Gujarat Titans,AK Markram,Lucknow Super Giants,Gujarat Titans,Gujarat Titans
1473464,27,Punjab Kings,Abhishek Sharma,Sunrisers Hyderabad,Punjab Kings,Punjab Kings
1473465,28,Rajasthan Royals,PD Salt,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
1473466,29,Mumbai Indians,KV Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
1473467,30,Lucknow Super Giants,MS Dhoni,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants
1473468,31,Punjab Kings,YS Chahal,Punjab Kings,Punjab Kings,Punjab Kings
1473469,32,Delhi Capitals,MA Starc,Unknown,Delhi Capitals,Delhi Capitals
1473470,33,Sunrisers Hyderabad,WG Jacks,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
1473471,34,Royal Challengers Bengaluru,TH David,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473472,35,Delhi Capitals,JC Buttler,Gujarat Titans,Delhi Capitals,Delhi Capitals
1473473,36,Lucknow Super Giants,Avesh Khan,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants
1473474,37,Punjab Kings,V Kohli,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
1473475,38,Chennai Super Kings,RG Sharma,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1473476,39,Gujarat Titans,Shubman Gill,Gujarat Titans,Gujarat Titans,Gujarat Titans
